song_name,artist_name,album,duration,artwork_url,scrape_date
Faithless,,,3:51,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c5/6f/eb/c56feb9d-b333-a761-41ae-2dffe517eef2/196873001647.jpg/2000x2000bb.jpg,2025-05-07
Don't Wake Me Up (Vibe Chemistry Remix),,,2:35,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f7/bc/51/f7bc5157-b2a9-ff6d-97a1-f660ad63d4b2/25UMGIM57576.rgb.jpg/2000x2000bb.jpg,2025-05-07
Detonator,,,2:15,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/30/3e/d7/303ed7e7-392e-6c61-8087-5ed4e349f9e3/0.jpg/2000x2000bb.jpg,2025-05-07
SOS,,,3:4,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/cf/1a/19/cf1a1922-0cca-157c-0835-fb5c3b9af1cd/198704480393_Cover.jpg/2000x2000bb.jpg,2025-05-07
Metal,,,4:43,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/00/49/67/00496753-a362-21b4-cf2c-f324ca3521a2/0045778813100.png/2000x2000bb.jpg,2025-05-07
baja bird,,,3:48,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/a3/c7/d7a3c739-1fd8-d8aa-08ab-7a522702620f/199350366437.jpg/2000x2000bb.jpg,2025-05-07
JUNGLE FEVER,,,3:30,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e9/9f/7d/e99f7d08-ac0c-e891-db12-81ae7dea2916/cover_4062851136150.jpg/2000x2000bb.jpg,2025-05-07
What Hurts The Most,,,3:31,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/fa/f1/9c/faf19c05-66d9-a514-3881-d3f9872af210/25BMR0006207.rgb.jpg/2000x2000bb.jpg,2025-05-07
Chasing Babies & Raising Dreams,,,3:47,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/70/ba/67/70ba67e9-d057-b159-8781-7c5f62869faf/25UMGIM05426.rgb.jpg/2000x2000bb.jpg,2025-05-07
Same Questions,,,3:12,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a2/29/34/a22934fe-f8eb-a2a4-1a3f-e7940f12da83/850064541748.jpg/2000x2000bb.jpg,2025-05-07
I Donât Want You,,,3:19,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ba/6c/5b/ba6c5b38-a953-bf08-d83d-2ca50d77feb1/25UMGIM47923.rgb.jpg/2000x2000bb.jpg,2025-05-07
Steal Your Thunder,,,2:38,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/41/5b/9b415b17-8855-0788-b6ec-dc70d862ac86/198704457517_Cover.jpg/2000x2000bb.jpg,2025-05-07
Half Past Three,,,3:27,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/96/ec/84/96ec843f-1411-e04b-84a5-c5f7e6bc6a27/25CRGIM49241.rgb.jpg/2000x2000bb.jpg,2025-05-07
Daddy's DNA,,,4:30,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/82/58/24/82582405-96a9-16d7-2adb-7863e0b34afb/196872899689.jpg/2000x2000bb.jpg,2025-05-07
TRICK DADDY,,,1:53,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/8b/70/b9/8b70b96f-6b4f-afe0-eae1-2f77b0519a82/8721253881179.png/2000x2000bb.jpg,2025-05-07
Soar,,,3:41,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/20/6b/c3/206bc3b4-3760-7bb1-7a86-1ca1bda4ec67/196872823967.jpg/2000x2000bb.jpg,2025-05-07
No Longer Young,,,2:33,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fa/3b/4c/fa3b4c56-d942-11d3-b9c0-03bda55238d7/0045778811762.png/2000x2000bb.jpg,2025-05-07
HELLMUSTFEARME,,,3:7,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/eb/4a/51/eb4a516e-c836-7f0c-d392-805501061c28/196873039503.jpg/2000x2000bb.jpg,2025-05-07
Souls Devoured,,,4:15,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c7/bc/ec/c7bcecdc-55f4-659c-1315-ff7773a434e7/27461.jpg/2000x2000bb.jpg,2025-05-07
Minnie Says (Would You Be My),,,3:25,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/04/31/2d/04312ddf-c20b-0b8a-4df8-64845154ff5c/199350294082.jpg/2000x2000bb.jpg,2025-05-07
Should've known better (choices),,,3:28,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/3d/0c/b1/3d0cb13a-ff71-edb6-d83a-7dc071e0ac2b/191400084377.png/2000x2000bb.jpg,2025-05-07
Pookie,,,2:32,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/3c/be/6a/3cbe6a13-13c3-82a5-f2a5-f7fa7c647c52/196873012391.jpg/2000x2000bb.jpg,2025-05-07
One In A Million,,,2:56,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/4f/78/bf/4f78bfa3-5b57-1067-15e1-e14cb2d327db/199350500664.jpg/2000x2000bb.jpg,2025-05-07
On It Goes,,,5:41,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/fa/3d/b6/fa3db6ca-78f0-b5b9-079d-0cafea7f43ea/53912.jpg/2000x2000bb.jpg,2025-05-07
ICU2,,,2:42,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d0/3f/d6/d03fd6a3-1443-5326-96ca-574cb4788c70/53414.jpg/2000x2000bb.jpg,2025-05-07
Trap Door,,,2:27,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bb/04/65/bb0465e6-90fc-5de6-7da2-9a36b86038d6/cover.jpg/2000x2000bb.jpg,2025-05-07
Sinathavar Mudikkum,,,2:30,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/9a/9f/f9/9a9ff91a-75fb-b995-c6ca-68fe6e0368a3/4066004837390_3000.jpg/2000x2000bb.jpg,2025-05-07
On This Love,,,2:49,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d8/26/38/d826384b-8fe1-3d7c-cc70-9178763a66b7/098787170962.png/2000x2000bb.jpg,2025-05-07
Vespers,,,3:25,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/64/99/ca/6499ca0c-ee3a-ee12-735a-2308cd177865/198704347542_Cover.jpg/2000x2000bb.jpg,2025-05-07
Possession,,,4:11,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/aa/e8/be/aae8be6c-cab5-9e5a-8a28-d22f4799986a/781484091523.png/2000x2000bb.jpg,2025-05-07
Olive Garden,,,1:52,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e9/c5/56/e9c55650-80b1-59a2-15c0-31830cf939ba/4099964139310.jpg/2000x2000bb.jpg,2025-05-07
Angel Patience,,,3:33,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/72/74/ce/7274ce37-1dad-3e00-f49b-2737d41f55bb/5059449216645.png/2000x2000bb.jpg,2025-05-07
AURA,,,2:54,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b0/29/c1/b029c102-7503-767e-56d9-914e1fb0087f/5059449217611.png/2000x2000bb.jpg,2025-05-07
El Beso,,,4:15,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/1a/6a/b6/1a6ab6bd-6eee-0c73-ad23-ac24410dd39d/5059449218441.png/2000x2000bb.jpg,2025-05-07
Negative Space,,,3:18,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/57/e2/bd/57e2bdf0-19ae-6a05-a884-16b67a7b9693/8721215001447.png/2000x2000bb.jpg,2025-05-07
Wrath (Bring Fire),,,3:33,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/15/98/dc/1598dcb9-39f1-c945-715c-90551607925a/cover.jpg/2000x2000bb.jpg,2025-05-07
Head Over Heels,,,4:58,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/cd/ea/0b/cdea0b9c-21c2-3a19-3d50-63d3a6fac955/25CRGIM49409.rgb.jpg/2000x2000bb.jpg,2025-05-07
The End,,,3:33,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b3/c7/13/b3c71300-328a-1768-b630-767fff9f7830/4099964168693.jpg/2000x2000bb.jpg,2025-05-07
Enter The Behelit,,,3:47,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a0/96/6e/a0966ee0-a44a-37f5-2438-452abeed48fc/cover.jpg/2000x2000bb.jpg,2025-05-07
"Turn the Other Cheek (from ""The Righteous Gemstones: Season 4"")",,,2:3,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b4/2c/b3/b42cb3f6-767c-e9b0-e876-7dbb53e942a8/794043224423.jpg/2000x2000bb.jpg,2025-05-07
